Provider,Data Center Name,Address
COPT Defense Properties,8621 Robert Fulton Drive,"8621 Robert Fulton Drive, Columbia, MD, USA"
Cogent Communications,San Diego 3 Data Center,"1402 K St, San Diego, California 92101, USA"
Zenlayer,LAX8 Los Angeles Data Center,"17836 Gillette Avenue, Irvine, CA 92614, USA"
Amazon AWS,25020 Willard Road,"25020 Willard Rd, Chantilly, VA 20152, USA"
CoreSite,VA1 Reston Data Center,"12100 Sunrise Valley Drive, Reston, VA, USA"
Limestone Networks,PDX1 Portland Data Center,"3935 Northeast Aloclek Drive, Hillsboro, OR, USA"
LeaseWeb,Seattle SEA-11 Data Center,"12201 Tukwila International Blvd #100, Tukwila, WA 98168, USA"
Prime Data Centers,Prime Chicago - 1601 Midway Ct.,"1601 Midway Ct, Elk Grove Village, IL, USA"
Zayo,"Phoenix, Arizona","3110 N Central Ave suite 151, Phoenix, AZ 85012, USA"
iM Critical,Pittsburgh Data Center,"900 Brinton Road, Wilkinsburg, PA 15221, USA"
NYI,New York Broad Street Connect Data Center,"75 Broad St, New York, NY, USA"
NTT DOCOMO BUSSINESS,Dallas TX1 Data Center,"2008 Lookout Drive, Garland, Dallas, TX, USA"
LeaseWeb,San Francisco SFO-12 Data Center,"1735 Lundy Ave, San Jose, CA 95131, USA"
HorizonIQ,Seattle 2 Data Center,"3355 South 120th Place, Tukwila, WA, USA"
Lumen,Kansas City 3 Data Center,"1100 Main Street, Kansas City, MO, USA"
Layer 9 Data Center,Falcon Data Center,"6225 North 24th Street, Phoenix, AZ 85016, USA"
Metrobloks,IND-A Metrobloks Data Center,"2505 N Sherman Dr, Indianapolis, Indiana, United States"
Flexential,Louisville - Downtown Data Center,"752 Barret Ave, Louisville, KY 40204, USA"
Amazon AWS,45930 Pathfinder Plz,"45930 Pathfinder Plz, Sterling, VA 20166, USA"
FirstLight,Albany Data Center,"11 North Pearl Street, Albany, NY, USA"
American Tower,Edge Data Center Austin,"1601 West 10th Street, Austin, TX, USA"
Stream Data Centers,Chicago I Data Center,"2080 Lunt Avenue, Elk Grove Village, IL, USA"
Amazon AWS,5125 Hayden Run,"5125 Hayden Run Rd, Hilliard, Ohio 43026, USA"
CBTS LLC,South Bend Data Center II,"22 Maple Street, South Bend, Indiana 46601, USA"
365 Data Centers,MIA2 Miami Data Center,"50 Northeast 9th Street 2nd floor, Miami, FL, USA"
Iron Rails Data Centers,Union Station Data Center,"575 Broadway, Albany, NY 12207, USA"
NYI,Chicago Oak Brook Data Center,"800 Jorie Boulevard, Oak Brook, IL, USA"
Evocative,San Jose Data Center (SJC7),"534 Stockton Avenue, San Jose, CA, USA"
NOVVA,Colorado Data Center,"650 Sybilla Lane, Colorado Springs, CO 80921, USA"
PointOne,Nap Of Virginia Beach,"1893 Corporate Landing Pkwy, Virginia Beach, VA, USA"
Centrilogic,"Lenoir, North Carolina","801 N Main St, Lenoir, NC 28645, USA"
Microsoft Azure,Jacksonville Road Campus,"11314 Balls Ford Rd, Manassas, Virginia 20109, United States"
Windstream,"Milwaukee, WI Data Center","401 West North Avenue, Milwaukee, WI 53212, USA"
Cogent Communications,Charlotte Data Center,"701 East Trade Street, Charlotte, North Carolina 28202, USA"
Cogent Communications,Nashville Data Center,"338 Woodycrest Ave, Nashville, Tennessee 37210, USA"
365 Data Centers,NY8 New York City Data Center,"375 Pearl Street, New York, NY, USA"
CoreSite,SV3 Silicon Valley Data Center,"2901 Coronado Drive, Santa Clara, CA, USA"
Digital Realty,Dallas DFW11 Data Center,"4025 Midway Road, Carrollton, TX, USA"
CenterServ,Greensboro Data Center,"717 Green Valley Road, Greensboro, NC, USA"
Comarch ICT,Phoenix Data Center,"3223 S Ellsworth Rd, Mesa, AZ 85212, USA"
360TCS,360TCS Lombard - Chicago,"360 E 22nd St, Lombard, IL 60148, USA"
365 Data Centers,NY1 New York City Data Center,"32 6th Avenue 7th floor, New York, NY, USA"
Zenlayer,SEA3 Seattle Data Center,"2020 5th Avenue, Seattle, WA 98121, USA"
H5 Data Centers,Portland Data Center,"1233 Northwest 12th Avenue, Portland, OR, USA"
EXA Infrastructure,New York Data Centre,"60 Hudson Street, Hudson Street, New York, NY 10013, USA"
American Tower,Edge Data Center Atlanta,"2374 Fairburn Road Southwest, Atlanta, GA, USA"
CenterServ,Kansas City Data Center,"107 West 9th Street, Kansas City, MO, USA"
Latitude.sh,Los Angeles,"900 N Alameda St ste 200, Los Angeles, CA, USA"
Data Journey,Catawba County Data Center,"2436 Penny Road, Claremont, NC, USA"
Overwatch,Resilience ATL,"8 Corporate Ridge Pkwy, Columbus, GA, USA"
AT&T,Boston BOS1 Watertown Data Center,"500 Arsenal Street, Watertown, MA, USA"
Wholesale Internet INC.,Kansas City Data Center 01,"324 E 11th St, Kansas City, MO 64106, USA"
Amazon AWS,44854 Interconnection,"44854 Interconnection Plz, Ashburn, VA 20147, USA"
TierPoint,Jacksonville Data Center,"8324 Baymeadows Way, Jacksonville, FL, USA"
Amazon AWS,73575 Lewis,"73575 Lewis and Clark Dr, Boardman, Oregon 97818, USA"
Windstream,"Lafayette, IN Data Center","2304 Brothers Drive, Lafayette, IN, USA"
Lumen,Las Vegas 1 Data Center,"1 Aerojet Way, North Las Vegas, NV, USA"
Equinix,DC1 Ashburn Data Center,"21711 Filigree Court, Ashburn, VA, USA"
DataBank,ACT1 - Waco Data Center,"700 Austin Avenue, Waco, TX, USA"
Microsoft Azure,MNZ02,"11314 Balls Ford Rd building 1, Manassas, Virginia 20109, USA"
365 Data Centers,UTH1 Salt Lake City Data Center,"572 Delong Street, Salt Lake City, UT, USA"
Mountain West Technology Networks,Casper Wyoming - Data Center of the Rockies,"851 Werner Court, Casper, WY, USA"
Stellar Technologies Inc.,HNl01 Data Center,"3375 Koapaka Street, Honolulu, HI, USA"
Aventus Data Centers,Lakes Data Center,"7901 West Clinton Avenue, Milwaukee, WI, USA"
FDCservers.net,DA11 Equinix,"1990 North Stemmons Freeway, Dallas, TX, USA"
Windstream,"Knoxville, TN Data Center","2333 Lovell Rd, Knoxville, Tennessee 37932, USA"
Cogent Communications,Kansas City Data Center,"101 Holmes St, Kansas City, Missouri 64106, USA"
Verizon,Verizon Atlanta,"4000 Highlands Parkway Southeast, Smyrna, Georgia, EE. UU."
menlo digital,MD-PHX1 (Phoenix),"4801 E Thistle Landing Dr, Phoenix, AZ, EE. UU."
Lumen,Chicago 1 Data Center,"111 North Canal Street, Chicago, IL, USA"
QTS Data Centers,Manassas Data Center 1,"9400 Godwin Court, Manassas, Virginia 20110, USA"
CenterServ,Wichita Data Center,"801 East Douglas Avenue, Wichita, KS, USA"
Amazon AWS,2540-2580 Beech South,"2580 Beech Road Northwest, Johnstown, Ohio 43031, USA"
365 Data Centers,NY4 New York City Data Center,"60 Hudson Street suite 1101, New York, NY, USA"
365 Data Centers,NY5 New York City Data Center,"60 Hudson Street suite 1001, New York, NY, USA"
Lumen,Fort Lauderdale 1 Data Center,"200 Northwest 2nd Street, Fort Lauderdale, FL, USA"
Colocation Northwest,Bellevue Data Center,"15400 Southeast 30th Place, Bellevue, WA, USA"
Limestone Networks,DFW1 Dallas Data Center,"400 S Akard St, Dallas, TX, USA"
Equinix,SV17 Silicon Valley Data Center,"3030 Corvin Drive, Santa Clara, CA, USA"
PointOne,Richmond Data Center Campus,"2840 Roxbury Rd, Charles City, VA 23030, USA"
Opti9 Technologies,Nebraska Data Center,"1010 N 96th St ste 100, Omaha, NE 68114, USA"
Equinix,SV8 Palo Alto Data Center,"529 Bryant Street, Palo Alto, CA, USA"
OneSource Cloud Corporation,Zhongjingyun Data Center,"15 North 9th Street, Pekin, IL, USA"
Amazon AWS,Prediction Lane,"25311 Prediction Ln, Chantilly, VA 20152, USA"
Amazon AWS,IAD67 Ashburn,"43940 Digital Loudoun Plaza, Ashburn, VA, USA"
Iron Mountain Data Centers,VA-6 - Northern Virginia Data Center,"11891 Sudley Manor Drive, Manassas, VA, USA"
Lumen,St Louis 1 Data Center,"1015 Locust Street, St. Louis, MO, USA"
FDCservers.net,SE4 Equinix,"6906 South 204th Street, Kent, WA, USA"
Cogent Communications,St. Paul Data Center,"847 Earl St, St Paul, Minnesota 55106, USA"
Crown Castle,Parkline Boulevard Data Center,"8248 Parkline Boulevard, Orlando, FL 32809, EE. UU."
Crown Castle,Columbus Data Center,"101 East Town Street, Columbus, OH 43215, EE. UU."
Stream Data Centers,Denver Data Center,"7579 W 103rd Ave, Westminster, Colorado 80021, EE. UU."
Amazon AWS,22868 International Dr,"22868 International Dr, Sterling, VA 20166, USA"
TierPoint,Little Rock Data Center,"15707 Chenal Parkway, Little Rock, AR, USA"
FirstLight,Rochester Data Center,"28 East Main Street, Rochester, NY, USA"
Digital Realty,Northern Virginia ACC5 Data Center,"44521 Hastings Drive, Ashburn, VA, USA"
IBM Cloud,"DAL01 Dallas, TX","1950 North Stemmons Freeway, Dallas, Texas 75207, USA"
COPT Defense Properties,7880 Milestone Parkway,"7880 Milestone Parkway, Hanover, MD, USA"
Flexential,Louisville - East Data Center,"2101 Nelson Miller Parkway, Louisville, KY, USA"
Zenlayer,SEA1 Seattle Data Center,"3433 South 120th Place, Tukwila, WA 98168, USA"
Amazon AWS,Fadeley III,"24178 Upper Woodside Ln, Dulles, VA 20166, USA"
DataBank,MCI2 Pine Ridge Data Center,"10605 West 84th Terrace, Lenexa, KS, USA"
LightEdge,Des Moines I Data Center,"1435 Northridge Circle, Altoona, IA 50009, USA"
ByteGrid,Aurora Data Center,"4267 Meridian Parkway, Aurora, IL, USA"
Compass Datacenters,Northern Virginia Data Center,"20632 Sycolin Rd, Leesburg, Loudoun, VA, USA"
SBA Edge,JaxNAP Data Center,"421 West Church Street, Church Street West, Jacksonville, Florida 32202, USA"
Lumen,Bandon 1 Data Center,"96614 Wickizer Way, Bandon, OR, USA"
MOD Mission Critical,PO2 - Flexential Hillsboro 2 Data Center PoP,"5737 Northeast Huffman Street, Hillsboro, OR, USA"
Amazon AWS,44858 Interconnection Plaza,"44858 Interconnection Plz, Ashburn, VA 20147, USA"
Digital Fortress,Portland Data Center 3 - (PTL3),"9610 Southwest Sunshine Court, Beaverton, OR, USA"
DSM,Atlanta Data Center,"2030 Powers Ferry Road, Atlanta, GA, USA"
CenterServ,Minneapolis Data Center,"100 South 5th Street, Minneapolis, MN, USA"
Lincoln Rackhouse,Lynnwood Data Center,"4200 194th Street Southwest, Lynnwood, WA, USA"
Csquare,IAD1-B Sterling Data Center,"45845 Nokes Blvd, Sterling, VA 20166, USA"
Lumen,Raleigh 4 Data Center,"924 Ellis Rd, Durham, NC, USA"
DataBank,209 10th Ave South Data Center,"209 10th Avenue North, Nashville, Tennessee 37203, USA"
Lumen,Metairie 1 Data Center,"3220 Lausat Street, Metairie, LA, USA"
H5 Data Centers,New Jersey Data Center,"200b Meadowlands Parkway, Secaucus, NJ, USA"
Equinix,DE1 Englewood Data Center,"9706 East Easter Avenue, Centennial, CO, USA"
Ascent Data,90 Beta Drive - Pittsburgh Data Center,"90 Beta Drive, Pittsburgh, PA, USA"
Zayo,"San Diego, California","12270 World Trade Drive, San Diego, CA 92128, USA"
Lumen,Charlotte 1 Data Center,"4021 Rose Lake Drive, Charlotte, NC, USA"
H5 Data Centers,Chicago Data Center,"1951 W Hastings St, Chicago, IL 60608, EE. UU."
Nautilus Data Technologies,Stockton 1 Data Center,"1002 Embarcadero, Stockton, CA, USA"
Lumen,Charlotte 2 Data Center,"112 North Myers Street, Charlotte, NC, USA"
Cogent Communications,Charlotte 2,"1310 S Mint St, Charlotte, North Carolina 28203, USA"
DataBank,251 Neilston St Data Center,"251 Neilston St, Columbus, Ohio 43215, USA"
DataBank,PIT2 - Summit Park Data Center,"35 Summit Park Drive, Pittsburgh, PA, USA"
QTS Data Centers,Ashburn-Lockridge Data Center,"44675 Quality Tech Lane, Sterling, Virginia 20166, USA"
Data Canopy,Dallas (Allen),"2300 Chelsea Boulevard, Allen, TX 75013, USA"
Synoptek,Las Vegas Data Center,"6795 S Edmond St 3rd floor, Las Vegas, NV 89118, USA"
Csquare,ORD1-A Chicago Data Center,"350 E Cermak Rd ste 700, Chicago, IL 60616, USA"
Csquare,IAD2-A Sterling Data Center,"22810 International Drive, Sterling, VA 20166, USA"
T Mobile,T-Mobile 401 N Broad St,"401 North Broad Street, Philadelphia, PA 19108, USA"
South Front Networks,Davenport Data Center,"2814 North Clark Street, Davenport, Iowa, EE. UU."
Amazon AWS,45950 Pathfinder Plz,"45950 Pathfinder Plz, Sterling, VA 20164, USA"
Cogent Communications,Cleveland 1 Data Center,"1621 Euclid Avenue, Cleveland, OH, USA"
NFINIT,Lightwave Data Center,"9305 Lightwave Avenue, San Diego, CA, USA"
CBRE,16680 Valley View Ave Data Center,"16680 Valley View Avenue, Mirada, L A, CA, USA"
Csquare,IAD1-F Sterling Data Center,"45901 Nokes Blvd, Sterling, VA 20166, USA"
Lumen,Albuquerque Data Center,"3830 Singer Blvd NE, Albuquerque, NM 87109, EE. UU."
ByteGrid,MDC2 Silver Spring Atlanta Data Center,"12401 Prosperity Dr, Silver Spring, MD 20904, USA"
Lumen,Philadelphia 3 Data Center,"3020 Market Street, Philadelphia, PA, USA"
EvoSwitch,DEN-01 Denver Data Center,"4300 Brighton Boulevard, Denver, CO, USA"
Vantage Data Centers,VA3 Ashburn Data Center Campus,"19509 Belmont Ridge Road, Ashburn, VA 20147, USA"
Amazon AWS,24185 Upper Woodside,"24185 Upper Woodside Ln, Dulles, Virginia 20166, USA"
Windstream,"Omaha NE, Data Center","1721 St Marys Ave, Omaha, NE, USA"
Innova Solutions,Jeffersonville Data Center,"2760 Jefferson Centre Way, Jeffersonville, IN, USA"
Stream Data Centers,Austin I Data Center,"1300 Park Center Drive, Austin, Texas 78753, EE. UU."
TPx Communications,Dallas Data Center,"717 North Harwood Street, Dallas, TX, USA"
MOD Mission Critical,KEN1 Ziply Kennewick WA Data Center PoP,"4916 West Clearwater Avenue, Kennewick, WA 99336, USA"
Lumen,Phoenix 2 Data Center,"17 East Virginia Avenue, Phoenix, AZ, USA"
MOD Mission Critical,FTL1 - Flexential Ft. Lauderdale Data Center PoP,"5301 Northwest 33rd Avenue, Fort Lauderdale, FL, USA"
MOD Mission Critical,MN2 - Flexential Chaska MN Data Center PoP,"3500 Lyman Blvd, Chaska, MN, USA"
Fortress Data Centers,SF1: San Francisco,"274 Brannan Street, San Francisco, CA, USA"
CyrusOne,CIN97 Cincinnati Blue Ash Data Center,"4600 McAuley Place, Cincinnati, OH, USA"
CenterServ,New Orleans Data Center,"201 St Charles Ave, New Orleans, LA, USA"
Synoptek,Denver Data Center,"8181 E Tufts Ave suite 530, Denver, CO 80237, USA"
Csquare,IAD1-C Sterling Data Center,"21110 Ridgetop Circle, Sterling, VA 20166, USA"
Lumen,Greensboro 1 Data Center,"413-445 Creek Ridge Road, Greensboro, NC, USA"
Stream Data Centers,DFW VII Data Center,"1813 Lookout Drive, Garland, Texas 75044, EE. UU."
Zenlayer,DFW2 Dallas Data Center,"1950 N Stemmons Fwy #2049, Dallas, TX 75207, USA"
Cologix,JAX2 Jacksonville Data Center,"4800 Spring Park Road, Jacksonville, FL, USA"
Flexential,Salt Lake City - Fair Park Data Center,"118 South 1000 West, Salt Lake City, UT 84104, USA"
Cologix,SV1 Santa Clara Data Center,"2050 Martin Avenue, Santa Clara, CA, USA"
MOD Mission Critical,MOR1 - Flexential Morrisville Data Center PoP,"5150 McCrimmon Parkway, Morrisville, NC, USA"
LeaseWeb,Dallas DAL-13 Data Center,"1950 North Stemmons Freeway, Dallas, TX 75207, USA"
Lumen,Fresno 1 Data Center,"305 W Napa Ave, Fresno, CA, USA"
EdgePresence,JAX2 Edge Data Center,"15180 Bartram Park Blvd, Jacksonville, FL 32258, USA"
CenterServ,Raleigh Data Center,"421 Fayetteville Street, Raleigh, NC, USA"
ColoBarn,Arizona Data Center,"8905 South Beck Avenue, Tempe, AZ, USA"
Data Foundry,The Data Ranch,"4100 Smith School Rd, Austin, Texas 78744, USA"
Equinix,SV6 Sunnyvale Data Center,"444 Toyama Drive, Sunnyvale, CA, USA"
Lumen,Santa Teresa 1 Data Center,"175 Harrier Drive, Santa Teresa, NM, USA"
AT&T,Miami MIA1 Data Center,"444 Northwest 79th Avenue, Miami, FL, USA"
COPT Defense Properties,"1201 Winterson Road, Linthicum Heights","1201 Winterson Road, Linthicum Heights, Maryland 21090, USA"
COPT Defense Properties,"1501 South Clinton Street, Baltimore","1501 South Clinton Street, Baltimore, Maryland 21224, USA"
Colocation America,PhillyDC2 - Philadelphia Data Center,"1000 Adams Ave, Eagleville, PA, USA"
QTS Data Centers,Jersey City Data Center,"95 Christopher Columbus Drive, Jersey City, New Jersey 07302, USA"
Netrality Data Centers,717 South Wells Chicago Data Center,"717 South Wells Street, Chicago, IL, USA"
NFINIT,San Diego Data Center,"9725 Scranton Rd, San Diego, CA, USA"
China Telecom,NY8 Data Center,"60 Hudson Street, New York, NY 10013, USA"
DRFortress,Hawaii Data Center,"3375 Koapaka Street suite d 198, Honolulu, Hawaii, USA"
Amazon AWS,Crosby Campus,"6645 Crosby Court, Dublin, OH, USA"
Fiberstate,FiberState SLC1,"106 East 13200 South, Draper, UT 84020, USA"
Lumen,Denver 1 Data Center,"1850 Pearl St, Denver, CO, USA"
Cogent Communications,Milwaukee 2 Data Center,"2915 S 5th Ct, Milwaukee, WI, USA"
Verizon,Verizon Seattle,"1100 2nd Ave, Seattle, Washington 98101, USA"
H5 Data Centers,Cincinnati Data Center,"360 Gest Street, Cincinnati, OH, USA"
Enzu,LAS1 Las Vegas Data Center,"302 E Carson Ave, Las Vegas, NV, USA"
Crown Castle,Indianapolis Data Center,"800 Oliver Avenue, Indianapolis, IN 46225, EE. UU."
DataBank,DFW7 - Dallas LBJ Data Center,"6606 Lyndon B Johnson Freeway, Dallas, TX, USA"
Digital Fortress,Downtown Portland Data Center 1 - (PTL),"511 Southwest 10th Avenue, Portland, OR, USA"
Cogent Communications,Washington DC 1 Data Center,"1120 Vermont Ave NW, Washington, DC, USA"
IBM Cloud,"HOU01 Houston, TX","390 Benmar Drive, Houston, Texas 77060, USA"
Lumen,Jacksonville 1 Data Center,"4814 Philips Highway, Jacksonville, FL, USA"
Lumen,Memphis 2 Data Center,"5425 E Raines Rd, Memphis, TN, USA"
Innova Solutions,Irving Data Center,"8505 Freeport Parkway suite 205, Irving, TX, USA"
Hivelocity,Phoenix Data Center,"2335 S Ellis St, Chandler, AZ, USA"
China Telecom,Coresite SV7 Data Center,"3020 Coronado Dr, Santa Clara, CA 95054, USA"
Prov.net/IronTrust Networks,Providence 2,"1155 Westminster Street, Providence, RI, USA"
Data Foundry,Houston 2 Data Center,"660 Greens Parkway, Houston, TX 77067, USA"
QTS Data Centers,Hillsboro 3 Data Center,"5419 NE Starr Blvd, Hillsboro, OR 97124, USA"
Amazon AWS,2675 Newton Court,"2675 Newton Court, Johnstown, Ohio 43031, USA"
Amazon AWS,Dulles Campus,"22651 Dulles Summit Ct, Sterling, Virginia 20166, USA"
Csquare,LAX5-A Irvine Data Center,"2681 Kelvin Ave, Irvine, CA 92614, USA"
Lumen,Tallahassee 2 Data Center,"1416 S Adams St, Tallahassee, FL, USA"
Windstream,"Ephrata, PA Data Center","140 Akron Rd, Ephrata, PA 17522, USA"
Sparrow Technology Solutions,3015 McGehee Data Center,"3015 McGehee Rd, Montgomery, AL 36111, EE. UU."
Cloudnium LLC,Irving Data Center,"6431 Longhorn Drive, Irving, TX 75063, USA"
MDC Data Centers,MCA1 McAllen Data Center,"200 S 10th St, McAllen, TX 78501, USA"
LeaseWeb,Phoenix PHX-01 Data Center,"8521 E Princess Dr, Scottsdale, AZ 85255, USA"
PointOne,Remington Technology Park,"12270 Lucky Hill Road, Remington, VA, USA"
Windstream,"Houston, TX Data Center","12105 I-45, Houston, TX 77002, USA"
Stack Infrastructure,POR03 - Portland Data Center,"4735 NE Starr Blvd, Hillsboro, Oregon 97124, USA"
Lumen,Broadview 1 Data Center,"2101 Roberts Drive, Broadview, IL, USA"
China Telecom,Coresite LA1 Data Center,"624 S Grand Ave, Los Angeles, CA 90017, USA"
Lunavi,New York Data Center,"1 Ramland Road, Orangeburg, NY, USA"
Lincoln Rackhouse,Reston Data Center,"1807 Michael Faraday Court, Reston, VA, USA"
Csquare,IAD4-A Ashburn Data Center,"21571 Beaumeade Circle, Ashburn, VA 20147, USA"
Overwatch,Resilience DFW,"6815 Communications Parkway, Plano, TX 75024, USA"
Lumos Networks,1200 Greenbrier St Data Center,"1200 Greenbrier Street, Charleston, WV, USA"
Crown Castle,Dover Data Center,"100 Carlson Way, Dover, DE 19901, EE. UU."
Bell Canada,Bell Canada 250 Marquette Ave S,"250 South Marquette Avenue, Minneapolis, MN 55401, USA"
Wholesale Internet INC.,Kansas City Data Center 02,"2401 Holly St, Kansas City, MO 64108, USA"
Opus Interactive,Northern Virginia Data Center,"11680 Hayden Rd, Manassas, VA, USA"
iTel Networks Inc.,Chicago E Randolph Data Center,"130 East Randolph Street, Chicago, IL, USA"
Lumen,West Palm Beach 1 Data Center,"410 Hampton Road, West Palm Beach, FL, USA"
Metanet Hosting,25 Broadway Data Center,"25 Broadway, NY, USA"
Latitude.sh,Dallas,"1950 N Stemmons Fwy #1032, Dallas, TX, USA"
AT&T,Ashburn WDC1 Data Center,"21571 Beaumeade Circle, Ashburn, VA, USA"
Cogent Communications,Indianapolis Data Center,"13 S Davidson St, Indianapolis, Indiana 46202, USA"
Lumen,Nashville 1 Data Center,"2990 Sidco Dr, Nashville, TN, USA"
365 Data Centers,LA1 Los Angeles Data center,"900 North Alameda Street, Los Angeles, CA, USA"
CoreSite,SV1 San Jose Silicon Valley Data Center,"55 South Market Street, South Market Street, San Jose, CA, USA"
Amazon AWS,Freedom Campus,"9020 Freedom Center Boulevard, Manassas, Virginia 20109, USA"
Cogent Communications,St. Louis Data Center,"1925 Chouteau Ave, St. Louis, Missouri 63103, USA"
Lumen,New Orleans 3 Data Center,"3220 Lausat Street, Metairie, LA 70001, EE. UU."
365 Data Centers,WA1 Quincy Data Center,"2200 M Street Northeast, Quincy, WA, USA"
China Telecom,"Cyxtera SC4, SC5, SC9 Data Center","4650 Old Ironsides Dr, Santa Clara, CA 95054, USA"
Colocation America,ChicagoDC3 Data Center,"800 E Business Center Dr, Mount Prospect, IL, USA"
Amazon AWS,IAD54 Ashburn,"43791 Devin Shafron Drive, Ashburn, VA, USA"
Equinix,DA9 Irving Data Center,"2222 East Grauwyler Road, Irving, TX, USA"
Evocative,Santa Clara Data Center (SJC11),"2151 Mission College Blvd, Santa Clara, CA 95054, USA"
NOVVA,San Francisco Data Center,"400 Paul Ave, San Francisco, CA 94124, USA"
Midco Business,Sioux Falls Data Center,"5401 South Solberg Avenue, Sioux Falls, SD, USA"
Lumen,Atlanta 6 Data Center,"874 DeKalb Avenue Northeast, Atlanta, GA, USA"
Lumen,South Bend 1 Data Center,"1140 Franklin Street, South Bend, IN, USA"
AT&T,Chicago CHI1 Lisle Data Center,"4513 Western Avenue, Lisle, IL, USA"
Selectel ltd,Svetlaya Data Center,"21 Sky Street, Enfield, Connecticut, EE. UU."
Aligned Data Centers,SLC-04 Data Center,"6368 W Beagley Rd, West Valley City, UT 84128, USA"
Enzu,SFO2 San Francisco Data Center,"201 Paul Ave, San Francisco, CA, USA"
Krypt,"Data Center Boston, MA (BOS1)","50 Inner Belt Rd, Somerville, MA 02143, USA"
Amazon AWS,43920 Lone Cedar,"43920 Lone Cedar Ln, Chantilly, Virginia 20152, USA"
COPT Defense Properties,"901 Elkridge Landing Road, Linthicum Heights","901 Elkridge Landing Road, Linthicum Heights, MD, USA"
Stack Infrastructure,POR01 - Portland Data Center,"3145 NE Brookwood Pkwy, Hillsboro, Oregon 97124, USA"
Lumen,New Orleans 2 Data Center,"1250 Poydras Street, New Orleans, LA, USA"
Cogent Communications,Houston 1 Data Center,"12061 North Fwy, Houston, TX, USA"
NTT DOCOMO BUSSINESS,Sterling Data Center,"22451 Shaw Road, Sterling, VA, USA"
CenterServ,Rochester Data Center,"510 Clinton Square, Rochester, NY, USA"
Windstream,"Dubuque, IA Data Center","3501 Digital Dr, Dubuque, IA 52003, USA"
Cogent Communications,Orlando Data Center,"17401 Wewahootee Rd, Orlando, Florida 32832, USA"
MOD Mission Critical,BND1 - One Neck Data Center PoP,"20845 Sockeye Place, Bend, OR, USA"
MDC Data Centers,MCA2 McAllen Data Center,"422 S 11th St, McAllen, TX, USA"
Hurricane Electric,Fremont 2 Data Center,"48233 Warm Springs Boulevard, Fremont, CA, USA"
Racksquared Data Center,Columbus OH Data Center,"325 East Spring Street, Columbus, OH, USA"
Cologix,DSM2 Des Moines Data Center,"1205 Technology Parkway, Cedar Falls, Iowa, USA"
Lumen,Tampa 4 Data Center,"400 North Tampa Street, Tampa, FL, USA"
Firstlight Fiber,Bedford Data Center,"8 Commerce Drive, Bedford, New Hampshire, EE. UU."
Cologix,NNJ4 New Jersey Data Center,"16 Wing Drive, Cedar Knolls, NJ, USA"
DC Mining,Alsip IL,"12300 South Keeler Avenue, Alsip, IL, USA"
EvoSwitch,BOS-1 Boston Data Center,"171 Bearfoot Rd, Northborough, MA, USA"
Racksquared Data Center,Value Way Data Center,"2560 Value Way Drive, Columbus, OH, USA"
Iron Mountain Data Centers,VA-5 - Northern Virginia Data Center,"11580 Hayden Road, Manassas, VA, USA"
Logix,Austin Data Center,"1905 East 6th Street, Austin, TX, USA"
Lumen,Bakersfield 1 Data Center,"2020 P Street, Bakersfield, CA, USA"
AT&T,Lynnwood Data Center,"17300 Washington 99, Lynnwood, WA, USA"
COPT Defense Properties,6716 Alexander Bell Drive,"6716 Alexander Bell Drive, Columbia, MD, USA"
Stack Infrastructure,SVY02A - Silicon Valley Data Center,"1200 Memorex Dr, Santa Clara, California 95050, USA"
365 Data Centers,NY3 New York City Data Center,"111 8th Avenue suite 723, New York, NY, USA"
TierPoint,Dallas Data Center,"3004 Irving Boulevard, Dallas, TX, USA"
DataBank,SLC6 Granite Point Data Center,"14870 Pony Express Road, Bluffdale, UT 84065, USA"
CoreSite,VA2 Reston Data Center,"12098 Sunrise Valley Drive, Reston, VA, USA"
Stellar Technologies Inc.,PHX01 Data Center,"3011 South 52nd Street, Tempe, AZ, USA"
Enzu,PHX2 Phoenix Data Center,"1850 W Deer Valley Rd, Phoenix, AZ, USA"
Cogent Communications,Anaheim 1 Data Center,"300 S Harbor Blvd, Anaheim, CA, USA"
CenterServ,Orlando Data Center,"618 East South Street, Orlando, FL, USA"
Windstream,"Louisville, KY Data Center","929 Mason Avenue, Louisville, KY, USA"
Lumen,Nashville 4 Data Center,"708 Melrose Ave, Berry Hill, TN, USA"
Prov.net/IronTrust Networks,Providence 3,"304 Carpenter Street, Providence, RI, USA"
Enzu,PDX1 Hillsboro Data Center,"23605 Northeast Huffman Street, Hillsboro, OR, USA"
Prime Data Centers,Prime Santa Clara - 1231 Comstock,"1231 Comstock Street, Santa Clara, CA, USA"
Csquare,IAD3-A Dulles Data Center,"22995 Wilder Court, Dulles, VA 20166, USA"
3EX Hosting,3EX Hosting Data Center – Boca Raton,"6601 Park of Commerce Blvd, Boca Raton, FL 33487, USA"
DataBank,2500 Allegheny Center Mall Data Center,"2500 Allegheny Avenue, Pittsburgh, Pennsylvania 15212, USA"
Lumen,Fort Worth 1 Data Center,"1601 Jones Street, Fort Worth, TX, USA"
Aligned Data Centers,ORD-03 Data Center,"50 NW Point Blvd, Elk Grove Village, IL 60007, USA"
MDC Data Centers,LDO1 Laredo Data Center,"13619 Cabezut Dr, Laredo, TX 78045, USA"
Summit,"Silicon Valley, CA Data Center","2820 Northwestern Parkway, Santa Clara, CA 95051, USA"
