Provider,Data Center Name,Address
DataBank,DataBank ATL4 Data Center,"200 Selig Dr SW, Atlanta, GA 30336, USA"
365 Data Centers,NY10 New York City Data Center,"65 Broadway, NY, New York, USA"
Element Critical,Austin One Data Center,"8025 N Interstate Hwy 35, Austin, TX 78753, USA"
Stack Infrastructure,ATL01 Atlanta Data Center,"3200 Webb Bridge Road, Alpharetta, GA, USA"
Lumen,Sunnyvale 1 Data Center,"1380 Kifer Road, Sunnyvale, CA, USA"
QTS Data Centers,New Albany 1 Data Center,"1235 Beech Road Southwest, New Albany, OH, USA"
Skybox Datacenters,Austin Data Center,"600 New Meister Ln, Pflugerville, Texas 78660, USA"
123NET,Southfield Data Center NW (DC2),"24275 Northwestern Hwy, Southfield, MI, USA"
Csquare,EWR2-D Weehawken Data Center,"1919 Park Ave, Weehawken, NJ 07086, USA"
Lumen,Orlando 2 Data Center,"510 Columbia St, Orlando, FL, USA"
Stack Infrastructure,CHI01 Chicago Data Center,"1441 Touhy Avenue, Elk Grove Village, IL, USA"
US Signal,10290 W 70th St Data Center,"10290 W 70th St, Eden Prairie, MN 55344, USA"
Equinix,AT5 Norcross Data Center,"2836 Peterson Place Northwest, Norcross, GA, USA"
QTS Data Centers,Richmond 1 Data Center,"6000 Technology Boulevard, Sandston, VA, USA"
365 Data Centers,CA1 Rancho Cordova Data Center,"11085 Sun Center Drive, Rancho Cordova, CA, USA"
365 Data Centers,PA1 Philadelphia Data Center,"1500 Spring Garden Street, Philadelphia, PA, USA"
DataBank,DataBank AUS1 Data Center,"7218 McNeil Drive, Austin, TX, USA"
Lumen,Tampa 1 Data Center,"7909 Woodland Center Boulevard, Tampa, FL, USA"
Csquare,SFO2 Santa Clara Data Center Campus,"4650 Old Ironsides Drive, Santa Clara, CA, USA"
Iron Mountain Data Centers,AZP - 1 - Phoenix Data Center,"615 North 48th Street, Phoenix, AZ, USA"
EdgeConnex,ATL02 Atlanta Data Center,"1101 Donnelly Avenue Southwest, Atlanta, GA 30310, USA"
365 Data Centers,FTL Fort Lauderdale Data Center,"3250 West Commercial Boulevard, Fort Lauderdale, FL, USA"
Rackspace,NYC2 New York Metro Data Center,"202-216 Campus Drive, Franklin Township, NJ, USA"
Csquare,LAX3 (Los Angeles) Irvine Data Center Campus,"17836 Gillette Avenue, Irvine, CA, USA"
Flexential,Atlanta - Douglasville 2 Data Center,"1750 N River Rd, Douglasville, Georgia 30122, USA"
